route_name
12E
12O
144E
144O
151N
151S
17N
17S
20E
20O
222E
222O
22E
22O
24E
24O
26E
26O
27N
27S
313N
313S
31N
31S
33N
33S
360N
37N
37S
39N
39S
40E
40O
42E
42O
43N
43S
45N
45S
46N
46S
48E
48O
50E
50O
52E
52O
55N
55S
56E
56O
58E
58O
60E
60O
61N
61S
63N
63S
65N
65S
66E
66O
70E
70O
73N
73S
74E
74O
76E
76O
903N
903S
2E
2O
252E
252O
36E
36O
41N
41S
713N
713S
730N
730S
744E
744O
901N
901S
902N
902S
925N
925S
942E
942O
402E
402O
404E
404O
16E
16O
345N
345S
322E
322O
