Année,Ligne,Achalandage
2022,901,51193
,,
2022,902,134386
,,
2022,903,276339
,,
2022,925,84286
,,
2022,942,27976
,,
2022,autre,85
,,
2022,scolaire,631154
,,
2023,2,22467
,,
2023,12,16784
,,
2023,16,56442
,,
2023,17,520189
,,
2023,20,231966
,,
2023,22,265668
,,
2023,24,716083
,,
2023,26,1442700
,,
2023,27,227656
,,
2023,31,460330
,,
2023,33,244122
,,
2023,36,123518
,,
2023,37,317456
,,
2023,39,475074
,,
2023,40,425608
,,
2023,41,31489
,,
2023,42,1900741
,,
2023,43,293732
,,
2023,45,311329
,,
2023,46,530422
,,
2023,48,433990
,,
2023,50,461197
,,
2023,52,187511
,,
2023,55,326520
,,
2023,56,416442
,,
2023,58,355853
,,
2023,60,296688
,,
2023,61,372280
,,
2023,63,669046
,,
2023,65,691102
,,
2023,66,276965
,,
2023,70,718948
,,
2023,73,805360
,,
2023,74,280588
,,
2023,76,738130
,,
2023,144,396373
,,
2023,151,1096892
,,
2023,222,177176
,,
2023,252,56752
,,
2023,313,12674
,,
2023,345,2818
,,
2023,360,76753
,,
2023,713,20041
,,
2023,730,14288
,,
2023,744,21027
,,
2023,901,61207
,,
2023,902,179480
,,
2023,903,340188
,,
2023,925,96186
,,
2023,942,36011
,,
2023,autre,666
,,
2023,scolaire,811525
