Année,Ligne,Achalandage
2022.0,48,345356.0
2022.0,50,354833.0
2022.0,52,141818.0
2022.0,55,266748.0
2022.0,56,333465.0
2022.0,58,277584.0
2022.0,60,231500.0
2022.0,61,308455.0
2022.0,63,558425.0
2022.0,65,574152.0
2022.0,66,231826.0
2022.0,70,574431.0
2022.0,73,689800.0
2022.0,74,221933.0
2022.0,76,636781.0
2022.0,144,320605.0
2022.0,151,950518.0
2022.0,222,131783.0
2022.0,252,47843.0
2022.0,313,3926.0
2022.0,360,59353.0
2022.0,713,13876.0
2022.0,730,15892.0
2022.0,744,12213.0
2022.0,901,51193.0
2022.0,902,134386.0
2022.0,903,276339.0
2022.0,925,84286.0
2022.0,942,27976.0
2022.0,autre,85.0
2022.0,scolaire,631154.0
2023.0,2,22467.0
2023.0,12,16784.0
2023.0,16,56442.0
2023.0,17,520189.0
2023.0,20,231966.0
2023.0,22,265668.0
2023.0,24,716083.0
2023.0,26,1442700.0
2023.0,27,227656.0
2023.0,31,460330.0
2023.0,33,244122.0
2023.0,36,123518.0
2023.0,37,317456.0
2023.0,39,475074.0
2023.0,40,425608.0
2023.0,41,31489.0
2023.0,42,1900741.0
2023.0,43,293732.0
2023.0,45,311329.0
2023.0,46,530422.0
2023.0,48,433990.0
2023.0,50,461197.0
2023.0,52,187511.0
2023.0,55,326520.0
2023.0,56,416442.0
2023.0,58,355853.0
2023.0,60,296688.0
2023.0,61,372280.0
2023.0,63,669046.0
2023.0,65,691102.0
2023.0,66,276965.0
2023.0,70,718948.0
2023.0,73,805360.0
2023.0,74,280588.0
2023.0,76,738130.0
2023.0,144,396373.0
2023.0,151,1096892.0
2023.0,222,177176.0
2023.0,252,56752.0
2023.0,313,12674.0
2023.0,345,2818.0
2023.0,360,76753.0
2023.0,713,20041.0
2023.0,730,14288.0
2023.0,744,21027.0
2023.0,901,61207.0
2023.0,902,179480.0
2023.0,903,340188.0
2023.0,925,96186.0
2023.0,942,36011.0
2023.0,autre,666.0
2023.0,scolaire,811525.0
