service_id,date,exception_type
DIM,20210829,1
DIM,20210905,1
DIM,20210906,1
DIM,20210912,1
DIM,20210919,1
DIM,20210926,1
DIM,20211003,1
DIM,20211010,1
DIM,20211017,1
DIM,20211024,1
DIM,20211031,1
DIM,20211107,1
DIM,20211114,1
DIM,20211121,1
DIM,20211128,1
DIM,20211205,1
DIM,20211212,1
DIM,20211219,1
DIM,20211226,1
DIM,20220102,1
SAM,20210828,1
SAM,20210904,1
SAM,20210911,1
SAM,20210918,1
SAM,20210925,1
SAM,20211002,1
SAM,20211009,1
SAM,20211011,1
SAM,20211016,1
SAM,20211023,1
SAM,20211030,1
SAM,20211106,1
SAM,20211113,1
SAM,20211120,1
SAM,20211127,1
SAM,20211204,1
SAM,20211211,1
SAM,20211218,1
SAM,20211224,1
SAM,20211231,1
SEM,20210830,1
SEM,20210831,1
SEM,20210901,1
SEM,20210902,1
SEM,20210903,1
SEM,20210906,2
SEM,20210907,1
SEM,20210908,1
SEM,20210909,1
SEM,20210910,1
SEM,20210913,1
SEM,20210914,1
SEM,20210915,1
SEM,20210916,1
SEM,20210917,1
SEM,20210920,1
SEM,20210921,1
SEM,20210922,1
SEM,20210923,1
SEM,20210924,1
SEM,20210927,1
SEM,20210928,1
SEM,20210929,1
SEM,20210930,1
SEM,20211001,1
SEM,20211004,1
SEM,20211005,1
SEM,20211006,1
SEM,20211007,1
SEM,20211008,1
SEM,20211011,2
SEM,20211012,1
SEM,20211013,1
SEM,20211014,1
SEM,20211015,1
SEM,20211018,1
SEM,20211019,1
SEM,20211020,1
SEM,20211021,1
SEM,20211022,1
SEM,20211025,1
SEM,20211026,1
SEM,20211027,1
SEM,20211028,1
SEM,20211029,1
SEM,20211101,1
SEM,20211102,1
SEM,20211103,1
SEM,20211104,1
SEM,20211105,1
SEM,20211108,1
SEM,20211109,1
SEM,20211110,1
SEM,20211111,1
SEM,20211112,1
SEM,20211115,1
SEM,20211116,1
SEM,20211117,1
SEM,20211118,1
SEM,20211119,1
SEM,20211122,1
SEM,20211123,1
SEM,20211124,1
SEM,20211125,1
SEM,20211126,1
SEM,20211129,1
SEM,20211130,1
SEM,20211201,1
SEM,20211202,1
SEM,20211203,1
SEM,20211206,1
SEM,20211207,1
SEM,20211208,1
SEM,20211209,1
SEM,20211210,1
SEM,20211213,1
SEM,20211214,1
SEM,20211215,1
SEM,20211216,1
SEM,20211217,1
SEM,20211220,1
SEM,20211221,1
SEM,20211222,1
SEM,20211223,1
SEM,20211224,2
SEM,20211227,1
SEM,20211228,1
SEM,20211229,1
SEM,20211230,1
SEM,20211231,2
SEM,20220103,1
SEM,20220104,1
SEM,20220105,1
SEM,20220106,1
SEM,20220107,1
