route_id,service_id,trip_id,block_id,shape_id,trip_headsign
JANV1912E,JANV19DIM,JANV1912E2D10221190527,D102,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D1115190515,D11,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D11322190529,D113,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D11719190523,D117,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D1309190503,D13,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D14723190531,D147,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D15520190525,D155,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D1614220513,D16,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D2008190501,D20,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D4211190507,D42,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D5010190505,D50,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D6612190509,D66,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D6813190511,D68,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D7716190517,D77,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D8118170521,D81,JANV1912E,
JANV1912E,JANV19DIM,JANV1912E2D8817190519,D88,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L10107000003,L101,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L13412110015,L134,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L13611200013,L136,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L14010200011,L140,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L16108290007,L161,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L19307460005,L193,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L19313500019,L193,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L19416350027,L194,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L25813000017,L258,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L25915510025,L259,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L26214350021,L262,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L28017500031,L280,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L29017150029,L290,JANV1912E,
JANV1912E,JANV19SEM,JANV1912E2L29218350033,L292,JANV1912E,
