route_id,service_id,trip_id,block_id,shape_id,trip_headsign
AOUT1612E,AOUT16DIM,AOUT1612E2D11617190519,D116,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D14220190525,D142,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D14623190531,D146,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D14822190529,D148,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D15019190523,D150,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D1613190511,D16,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D2112190509,D21,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D2809190503,D28,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D3016190517,D30,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D3708190501,D37,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D3710190505,D37,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D4114190513,D41,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D5815190515,D58,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D6318190521,D63,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D7111190507,D71,AOUT1612E,
AOUT1612E,AOUT16DIM,AOUT1612E2D9821190527,D98,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L10311280013,L103,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L11907450005,L119,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L12614330021,L126,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L16015130023,L160,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L16213010017,L162,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L16715510025,L167,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L1909230009,L19,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L23618360033,L236,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L24413510019,L244,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L25317500031,L253,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L26622390041,L266,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L27117140029,L271,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L28216340027,L282,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L29519230035,L295,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L29823340043,L298,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L30620480037,L306,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L33521390039,L335,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L4306170001,L43,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L7108310007,L71,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L906540003,L9,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L9512130015,L95,AOUT1612E,
AOUT1612E,AOUT16SEM,AOUT1612E2L9610340011,L96,AOUT1612E,
AOUT1612E,AOUT16SAM,AOUT1612E2S10417190321,S104,AOUT1612E,
AOUT1612E,AOUT16SAM,AOUT1612E2S10921190329,S109,AOUT1612E,
AOUT1612E,AOUT16SAM,AOUT1612E2S11223190333,S112,AOUT1612E,
AOUT1612E,AOUT16SAM,AOUT1612E2S114190315,S1,AOUT1612E,
AOUT1612E,AOUT16SAM,AOUT1612E2S12722190331,S127,AOUT1612E,
AOUT1612E,AOUT16SAM,AOUT1612E2S13319190325,S133,AOUT1612E,
AOUT1612E,AOUT16SAM,AOUT1612E2S15020190327,S150,AOUT1612E,
