service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AOUT16DIM,0,0,0,0,0,0,1,20160827,20170106
AOUT16SAM,0,0,0,0,0,1,0,20160827,20170106
AOUT16SEM,1,1,1,1,1,0,0,20160827,20170106
JANV17DIM,0,0,0,0,0,0,1,20170107,20170324
JANV17SAM,0,0,0,0,0,1,0,20170107,20170324
JANV17SEM,1,1,1,1,1,0,0,20170107,20170324
JRAN17DIM,1,1,1,1,1,1,1,20170101,20170101
NOEL16DIM,1,1,1,1,1,1,1,20161225,20161225
