stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
AOUT16CP40002,40002,Terminus Henri-Bourassa [40002] ,-73.6672,45.555819,0,0,0
JANV17CP40002,40002,Terminus Henri-Bourassa [40002] ,-73.6672,45.555819,0,0,0
JRAN17CP40002,40002,Terminus Henri-Bourassa [40002] ,-73.6672,45.555819,0,0,0
NOEL16CP40002,40002,Terminus Henri-Bourassa [40002] ,-73.6672,45.555819,0,0,0
AOUT16CP40031,40031,Terminus Henri-Bourassa [40031] ,-73.66993,45.555747,0,0,0
JANV17CP40031,40031,Terminus Henri-Bourassa [40031] ,-73.66993,45.555747,0,0,0
JRAN17CP40031,40031,Terminus Henri-Bourassa [40031] ,-73.66993,45.555747,0,0,0
NOEL16CP40031,40031,Terminus Henri-Bourassa [40031] ,-73.66993,45.555747,0,0,0
AOUT16CP40052,40052,Terminus Henri-Bourassa [40052] ,-73.66993,45.555747,0,0,0
JANV17CP40052,40052,Terminus Henri-Bourassa [40052] ,-73.66993,45.555747,0,0,0
JRAN17CP40052,40052,Terminus Henri-Bourassa [40052] ,-73.66993,45.555747,0,0,0
NOEL16CP40052,40052,Terminus Henri-Bourassa [40052] ,-73.66993,45.555747,0,0,0
AOUT16CP40055,40055,Terminus Henri-Bourassa [40055] ,-73.66993,45.555747,0,0,0
JANV17CP40055,40055,Terminus Henri-Bourassa [40055] ,-73.66993,45.555747,0,0,0
JRAN17CP40055,40055,Terminus Henri-Bourassa [40055] ,-73.66993,45.555747,0,0,0
NOEL16CP40055,40055,Terminus Henri-Bourassa [40055] ,-73.66993,45.555747,0,0,0
AOUT16CP40102,40102,Terminus Henri-Bourassa [40102] ,-73.66728,45.556091,0,0,0
JANV17CP40102,40102,Terminus Henri-Bourassa [40102] ,-73.66728,45.556091,0,0,0
JRAN17CP40102,40102,Terminus Henri-Bourassa [40102] ,-73.66728,45.556091,0,0,0
NOEL16CP40102,40102,Terminus Henri-Bourassa [40102] ,-73.66728,45.556091,0,0,0
AOUT16CP40131,40131,Terminus Henri-Bourassa [40131] ,-73.66993,45.555747,0,0,0
JANV17CP40131,40131,Terminus Henri-Bourassa [40131] ,-73.66993,45.555747,0,0,0
JRAN17CP40131,40131,Terminus Henri-Bourassa [40131] ,-73.66993,45.555747,0,0,0
NOEL16CP40131,40131,Terminus Henri-Bourassa [40131] ,-73.66993,45.555747,0,0,0
AOUT16CP40144,40144,Métro Côte-Vertu Quai:20 [40144] ,-73.68449,45.51552,0,0,0
JANV17CP40144,40144,Métro Côte-Vertu Quai:20 [40144] ,-73.6827,45.513219,0,0,0
JRAN17CP40144,40144,Métro Côte-Vertu Quai:20 [40144] ,-73.68449,45.51552,0,0,0
NOEL16CP40144,40144,Métro Côte-Vertu Quai:20 [40144] ,-73.68449,45.51552,0,0,0
AOUT16CP40151,40151,Métro Côte-Vertu Quai:19 [40151] ,-73.68423,45.515367,0,0,0
JANV17CP40151,40151,Métro Côte-Vertu Quai:19 [40151] ,-73.68253,45.513354,0,0,0
JRAN17CP40151,40151,Métro Côte-Vertu Quai:19 [40151] ,-73.68423,45.515367,0,0,0
NOEL16CP40151,40151,Métro Côte-Vertu Quai:19 [40151] ,-73.68423,45.515367,0,0,0
AOUT16CP40152,40152,Terminus Henri-Bourassa [40152] ,-73.66993,45.555747,0,0,0
JANV17CP40152,40152,Terminus Henri-Bourassa [40152] ,-73.66993,45.555747,0,0,0
JRAN17CP40152,40152,Terminus Henri-Bourassa [40152] ,-73.66993,45.555747,0,0,0
NOEL16CP40152,40152,Terminus Henri-Bourassa [40152] ,-73.66993,45.555747,0,0,0
AOUT16CP40155,40155,Terminus Henri-Bourassa [40155] ,-73.66993,45.555747,0,0,0
JANV17CP40155,40155,Terminus Henri-Bourassa [40155] ,-73.66993,45.555747,0,0,0
JRAN17CP40155,40155,Terminus Henri-Bourassa [40155] ,-73.66993,45.555747,0,0,0
NOEL16CP40155,40155,Terminus Henri-Bourassa [40155] ,-73.66993,45.555747,0,0,0
AOUT16CP40244,40244,Métro Côte-Vertu [40244] ,-73.68389,45.514906,0,0,0
JANV17CP40244,40244,Métro Côte-Vertu [40244] ,-73.68251,45.513369,0,0,0
JRAN17CP40244,40244,Métro Côte-Vertu [40244] ,-73.68389,45.514906,0,0,0
NOEL16CP40244,40244,Métro Côte-Vertu [40244] ,-73.68389,45.514906,0,0,0
AOUT16CP40251,40251,Métro Côte-Vertu [40251] ,-73.68389,45.514906,0,0,0
JANV17CP40251,40251,Métro Côte-Vertu [40251] ,-73.68251,45.51337,0,0,0
JRAN17CP40251,40251,Métro Côte-Vertu [40251] ,-73.68389,45.514906,0,0,0
NOEL16CP40251,40251,Métro Côte-Vertu [40251] ,-73.68389,45.514906,0,0,0
AOUT16CP40252,40252,Terminus Henri-Bourassa [40252] ,-73.66993,45.555747,0,0,0
JANV17CP40252,40252,Terminus Henri-Bourassa [40252] ,-73.66993,45.555747,0,0,0
JRAN17CP40252,40252,Terminus Henri-Bourassa [40252] ,-73.66993,45.555747,0,0,0
NOEL16CP40252,40252,Terminus Henri-Bourassa [40252] ,-73.66993,45.555747,0,0,0
AOUT16CP40253,40253,Terminus Henri-Bourassa [40253] ,-73.66993,45.555747,0,0,0
JANV17CP40253,40253,Terminus Henri-Bourassa [40253] ,-73.66993,45.555747,0,0,0
JRAN17CP40253,40253,Terminus Henri-Bourassa [40253] ,-73.66993,45.555747,0,0,0
NOEL16CP40253,40253,Terminus Henri-Bourassa [40253] ,-73.66993,45.555747,0,0,0
AOUT16CP40802,40802,Métro Côte-Vertu [40802] ,-73.68389,45.514906,0,0,0
JANV17CP40802,40802,Métro Côte-Vertu [40802] ,-73.68251,45.513369,0,0,0
JRAN17CP40802,40802,Métro Côte-Vertu [40802] ,-73.68389,45.514906,0,0,0
NOEL16CP40802,40802,Métro Côte-Vertu [40802] ,-73.68389,45.514906,0,0,0
AOUT16CP40902,40902,Métro Côte-Vertu Quai:18 [40902] ,-73.68483,45.515501,0,0,0
JANV17CP40902,40902,Métro Côte-Vertu Quai:18 [40902] ,-73.68223,45.513625,0,0,0
JRAN17CP40902,40902,Métro Côte-Vertu Quai:18 [40902] ,-73.68483,45.515501,0,0,0
