stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
JUIN24CP40002,40002,terminus Henri-Bourassa Quai: 4,-73.66720877,45.5558285,0,0,1,0
JUIN24CP40102,40102,terminus Henri-Bourassa,-73.66729107,45.55610037,0,0,1,0
JUIN24CP40131,40131,terminus Henri-Bourassa,-73.66754966,45.55703194,0,0,2,0
JUIN24CP40144,40144,métro Côte-Vertu Quai: 20,-73.68271081,45.51322784,0,0,2,0
JUIN24CP40151,40151,métro Côte-Vertu Quai: 19,-73.68253145,45.51336812,0,0,2,0
JUIN24CP40155,40155,terminus Henri-Bourassa,-73.66861656,45.55411042,0,0,2,0
JUIN24CP40313,40313,métro Côte-Vertu,-73.68253145,45.51336812,0,0,2,0
JUIN24CP40322,40322,terminus Henri-Bourassa Quai: 5,-73.6673211,45.55572487,0,0,1,0
JUIN24CP40713,40713,Métro Côte-Vertu,-73.68224859,45.51361719,0,0,2,0
JUIN24CP40802,40802,métro Côte-Vertu Quai: 18,-73.68224859,45.51361719,0,0,2,0
JUIN24CP40925,40925,métro Radisson Quai: 6,-73.5400367,45.58983244,0,0,1,0
JUIN24CP40935,40935,métro Radisson / Radisson,-73.53936015,45.58953019,0,0,1,0
JUIN24CP41004,41004,de Langeais / de Gascogne,-73.71004273,45.5768144,0,0,1,0
JUIN2441005,41005,Ampère / Léo-Lacombe,-73.70736552,45.56025707,0,0,1,0
JUIN24CP41006,41006,Ampère / de Clairvaux,-73.70785213,45.56105717,0,0,1,1
JUIN2441008,41008,Ampère / Léo-Lacombe,-73.70702155,45.56019758,0,0,1,0
JUIN24CP41009,41009,Des Lacasse / d'Aveiro,-73.72841459,45.63126752,0,0,2,0
JUIN2441010,41010,Des Lacasse / de Gap,-73.73132935,45.62895811,0,0,2,0
JUIN2441011,41011,Des Lacasse / René-Laennec,-73.73322358,45.62801844,0,0,2,0
JUIN2441012,41012,René-Laennec / Prudentiel,-73.72970994,45.62497516,0,0,1,0
JUIN2441013,41013,René-Laennec / Aladin,-73.72575818,45.62131175,0,0,1,0
JUIN2441014,41014,René-Laennec / Bellerose,-73.72402062,45.61970448,0,0,1,0
JUIN2441015,41015,René-Laennec / de Lausanne (Nord),-73.72498594,45.62060241,0,0,1,0
JUIN2441016,41016,Prudentiel / de Montévideo,-73.72165508,45.62466713,0,0,2,0
JUIN2441017,41017,Prudentiel / De La Gironde,-73.72268094,45.62618854,0,0,1,0
JUIN2441018,41018,Le Carrefour / Le Corbusier,-73.74198626,45.5721119,0,0,1,0
