stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
41456,41456,Curé-Labelle / de la Canardière,-73.78765,45.595703,0,0,2,0
41457,41457,Curé-Labelle / Drapeau,-73.78799,45.595417,0,0,2,1
41458,41458,Curé-Labelle / face au 289,-73.78829,45.598036,0,0,2,0
41459,41459,Curé-Labelle / face au 285,-73.78875,45.598215,0,0,2,0
41460,41460,Curé-Labelle / 73e Avenue,-73.73406,45.538263,0,0,2,0
41461,41461,Curé-Labelle / 77e Avenue,-73.73848,45.53799,0,1,1,1
41462,41462,Curé-Labelle / 75e Avenue,-73.73696,45.538216,0,0,1,1
41463,41463,Curé-Labelle / 80e Avenue,-73.7417,45.537177,0,0,1,1
41465,41465,Dagenais / Félix,-73.8044,45.578972,0,0,2,1
41466,41466,Dagenais / Hugues,-73.80961,45.577008,0,0,2,1
41467,41467,Dagenais / Fridolin,-73.80694,45.578794,0,0,2,1
41468,41468,Dagenais / Montée Montrougeau,-73.81095,45.577137,0,0,2,1
41469,41469,Dagenais / Fridolin,-73.8064,45.578481,0,0,2,1
41470,41470,Dagenais / Ingrid,-73.81372,45.575008,0,0,2,0
41472,41472,Dagenais / Luce,-73.8127,45.576016,0,0,2,0
41474,41474,Dagenais / Lisane,-73.81559,45.574416,0,0,2,0
41475,41475,Dagenais / Lisane,-73.8156,45.57407,0,0,2,1
41476,41476,Dagenais / Jacques,-73.81764,45.573402,0,0,2,0
CP41477,41477,Dagenais / Curé-Labelle,-73.78889,45.579376,0,0,2,1
41478,41478,Dagenais / Jacques,-73.81774,45.573006,0,0,2,1
41479,41479,Dagenais / Marcellin,-73.82071,45.571819,0,0,2,0
41480,41480,Dagenais / Justin,-73.82076,45.57136,0,0,2,1
41481,41481,Dagenais / Ovide,-73.82678,45.566007,0,0,2,0
41483,41483,Dagenais / Ovide,-73.82665,45.565647,0,0,2,1
41487,41487,Dagenais / de Coblence,-73.72582,45.609614,0,0,1,0
41488,41488,Dagenais / de Coblence,-73.72598,45.609226,0,0,1,0
41489,41489,Dagenais / face au 94,-73.7291,45.608437,0,0,1,0
41490,41490,Dagenais / de Grenade,-73.72906,45.607979,0,0,1,0
41492,41492,Dagenais / Paradis,-73.7312,45.606844,0,0,1,0
41493,41493,Dagenais / Gilbert,-73.79265,45.578787,0,0,2,0
41494,41494,Dagenais  / des Rossignols,-73.76923,45.586178,0,0,2,1
41495,41495,Dagenais  / des Rossignols,-73.76915,45.586646,0,0,2,0
41497,41497,Dagenais / Gilbert,-73.79235,45.578977,0,0,2,0
41498,41498,Dagenais / Élyse,-73.79509,45.578772,0,0,2,1
41499,41499,Dagenais / Élyse,-73.79479,45.578952,0,0,2,0
