route_id,service_id,trip_id,block_id,shape_id,trip_headsign
JANV1812E,JANV18DIM,JANV1812E2D11122190529,D111,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D12120190525,D121,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D12521190527,D125,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D12816190517,D128,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D13419190523,D134,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D14823190531,D148,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D2008190501,D20,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D2313190511,D23,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D3309190503,D33,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D4011190507,D40,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D4110190505,D41,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D5412180509,D54,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D6217190519,D62,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D6514190513,D65,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D9015190515,D90,JANV1812E,
JANV1812E,JANV18DIM,JANV1812E2D9818190521,D98,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L1011200013,L10,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L15815130023,L158,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L17410210011,L174,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L17916340027,L179,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L20717500031,L207,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L21017140029,L210,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L22309200009,L223,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L24715490025,L247,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L25314350021,L253,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L26820340037,L268,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L26919340035,L269,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L27021340039,L270,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L2912130015,L29,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L29718360033,L297,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L35222340041,L352,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L3706140001,L37,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L5608350007,L56,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L6613010017,L66,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L7107520005,L71,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L9213500019,L92,JANV1812E,
JANV1812E,JANV18SEM,JANV1812E2L9406560003,L94,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S11119190325,S111,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S13022190331,S130,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S1410190307,S14,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S15318200323,S153,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S15523190333,S155,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S15720190327,S157,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S16521190329,S165,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S213200313,S2,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S2414200315,S24,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S3007190301,S30,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S3716190319,S37,JANV1812E,
JANV1812E,JANV18SAM,JANV1812E2S412190311,S4,JANV1812E,
