service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AOUT19DIM,0,0,0,0,0,0,1,20190824,20200103
AOUT19SAM,0,0,0,0,0,1,0,20190824,20200103
AOUT19SEM,1,1,1,1,1,0,0,20190824,20200103
JANV20DIM,0,0,0,0,0,0,1,20200104,20200320
JANV20SAM,0,0,0,0,0,1,0,20200104,20200320
JANV20SEM,1,1,1,1,1,0,0,20200104,20200320
JRAN20DIM,1,1,1,1,1,1,1,20200101,20200101
NOEL19DIM,1,1,1,1,1,1,1,20191225,20191225
