stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
AOUT1946336,46336,Ernest-Cormier / Face Au 5540 [46336] ,-73.65357,45.628177,0,0,0
AOUT19CP46337,46337,Montée Saint-François / Face Au 200 [46337] ,-73.64784,45.619444,0,0,0
AOUT1946339,46339,Place Maurice-Cullen / Face Au 5700 [46339] ,-73.64713,45.625153,0,0,0
AOUT1946340,46340,Dagenais / Face Au 4690 [46340] ,-73.85412,45.553048,0,0,0
AOUT1946341,46341,Dagenais / Face Au 4690 [46341] ,-73.8541,45.553201,0,0,0
AOUT1946342,46342,Des Laurentides / Bergeron [46342] ,-73.74831,45.653127,0,0,0
AOUT1946343,46343,Des Laurentides / Bergeron [46343] ,-73.74811,45.652741,0,0,0
AOUT1946344,46344,Bellerose / De Castellane [46344] ,-73.74183,45.6068,0,0,0
AOUT1946345,46345,Bellerose / De Castellane [46345] ,-73.74189,45.607034,0,0,0
AOUT1946347,46347,Lévesque / 70e Avenue [46347] ,-73.73073,45.536771,0,0,0
AOUT1946349,46349,Lévesque / Curé-Labelle [46349] ,-73.73144,45.536878,0,0,0
AOUT1946350,46350,Maurice-Cullen / Ernest-Cormier [46350] ,-73.65177,45.629276,0,0,0
AOUT1946353,46353,Vanier / Place Chénier [46353] ,-73.65966,45.613729,0,0,0
AOUT1946354,46354,Lévesque / 77e Avenue [46354] ,-73.73699,45.535207,0,0,0
AOUT1946355,46355,Le Corbusier / Le Carrefour [46355] ,-73.74166,45.572796,0,0,0
AOUT1946356,46356,Des Châteaux / Chomedey [46356] ,-73.74801,45.553769,0,0,0
AOUT1946364,46364,De L'empereur / Du Sénateur [46364] ,-73.68204,45.625894,0,0,0
AOUT1946365,46365,De L'empereur / Des Ambassadeurs [46365] ,-73.68388,45.624914,0,0,0
AOUT1946366,46366,Des Ambassadeurs / Des Généraux [46366] ,-73.68173,45.622172,0,0,0
AOUT1946367,46367,Des Gouverneurs / Des Généraux [46367] ,-73.68251,45.620345,0,0,0
AOUT1946368,46368,Des Gouverneurs / De L'adjudant [46368] ,-73.68048,45.619277,0,0,0
AOUT1946369,46369,Des Gouverneurs / Du Vicomte [46369] ,-73.67961,45.61711,0,0,0
AOUT19CP46370,46370,Des Gouverneurs / Des Aristocrates [46370] ,-73.67938,45.616399,0,0,0
AOUT19CP46376,46376,Des Gouverneurs / Du Vicomte [46376] ,-73.6791,45.616355,0,0,0
AOUT1946377,46377,Des Gouverneurs / De L'adjudant [46377] ,-73.68013,45.619179,0,0,0
AOUT1946378,46378,Des Gouverneurs / Des Généraux [46378] ,-73.68257,45.620596,0,0,0
AOUT1946379,46379,Des Ambassadeurs / Des Généraux [46379] ,-73.68167,45.622362,0,0,0
AOUT1946380,46380,Des Ambassadeurs / De L'empereur [46380] ,-73.68378,45.624734,0,0,0
AOUT1946381,46381,De L'empereur / Du Sénateur [46381] ,-73.68213,45.625645,0,0,0
AOUT19CP46382,46382,Gare Vimont [46382] ,-73.74282,45.604216,0,0,0
AOUT19CP46383,46383,Boucle Montgolfier [46383] ,-73.78064,45.532811,0,0,1
AOUT1946384,46384,Henri-Bourassa / Oscar [46384] ,-73.65046,45.582925,0,0,0
AOUT1946385,46385,Henri-Bourassa / Oscar [46385] ,-73.65091,45.583097,0,0,0
AOUT1946386,46386,Montée Masson / Boisclerc [46386] ,-73.63807,45.661358,0,0,0
AOUT1946387,46387,Montée Masson / Boisclerc [46387] ,-73.63795,45.661628,0,0,0
AOUT1946388,46388,Industriel / Bellerose [46388] ,-73.75009,45.598505,0,0,0
AOUT1946389,46389,Dagenais / Industriel [46389] ,-73.74961,45.599171,0,0,0
AOUT1946390,46390,Louis-Payette / Curé-Labelle [46390] ,-73.76728,45.556668,0,0,0
AOUT1946391,46391,René-Laennec / De Chaville [46391] ,-73.73135,45.626852,0,0,0
AOUT1946392,46392,René-Laennec / De Chaville [46392] ,-73.73178,45.626743,0,0,0
AOUT1946393,46393,Favreau / Place Favreau [46393] ,-73.77193,45.554956,0,0,0
AOUT1946394,46394,Favreau / Louis-Payette [46394] ,-73.77085,45.553879,0,0,0
AOUT1946395,46395,Maurice-Cullen / Ernest-Cormier [46395] ,-73.65147,45.62874,0,0,0
AOUT1946396,46396,De Belgrade / Rio [46396] ,-73.74607,45.613252,0,0,0
AOUT1946397,46397,Des Terrasses / Sicard [46397] ,-73.76494,45.634796,0,0,0
AOUT1946398,46398,Des Terrasses / Sicard [46398] ,-73.765,45.634553,0,0,0
AOUT1946399,46399,Montée Saint-François / Face Au Pénitencier [46399] ,-73.64648,45.618408,0,0,0
AOUT1946400,46400,Montée Masson / Marcel-Villeneuve [46400] ,-73.64386,45.652474,0,0,0
AOUT1946401,46401,Montée Masson / Marcel-Villeneuve [46401] ,-73.6435,45.652671,0,0,0
AOUT1946402,46402,Des Rossignols / Face Au 5755 [46402] ,-73.76962,45.587113,0,0,0
AOUT19CP46403,46403,P.-é.-Borduas / Sainte-Rose [46403] ,-73.8009,45.603447,0,0,0
AOUT1946406,46406,Principale / Marjolaine [46406] ,-73.80479,45.533322,0,0,0
AOUT1946407,46407,Principale / Marjolaine [46407] ,-73.805,45.533187,0,0,0
AOUT1946408,46408,Du Souvenir / Face Au 5275 [46408] ,-73.7782,45.533282,0,0,0
AOUT1946409,46409,Élodie-Boucher / Face à L'académie étoile Du Nord [46409] ,-73.78011,45.530506,0,0,0
AOUT1946410,46410,Élodie-Boucher / Derrière Ats [46410] ,-73.77638,45.526905,0,0,0
AOUT1946411,46411,Saint-Elzéar / Alfred-De Musset [46411] ,-73.76716,45.572892,0,0,0
AOUT1946412,46412,Saint-Elzéar / Alfred-De Musset [46412] ,-73.76749,45.572892,0,0,0
AOUT1946413,46413,Dagenais / Lindbergh [46413] ,-73.7841,45.580554,0,0,0
AOUT1946414,46414,Dagenais / Lindbergh [46414] ,-73.78402,45.580452,0,0,0
AOUT1946415,46415,René-Laennec / Face Au 2932 [46415] ,-73.72669,45.622614,0,0,0
AOUT1946416,46416,René-Laennec / Face Au 2932 [46416] ,-73.72705,45.622505,0,0,0
AOUT1946417,46417,Saint-Hubert / Saint-Eusèbe [46417] ,-73.67852,45.559459,0,0,0
AOUT1946418,46418,Saint-Hubert / Saint-Eusèbe [46418] ,-73.67828,45.559379,0,0,0
AOUT1946419,46419,Chomedey / Quartier-Saint-Martin [46419] ,-73.75313,45.557965,0,0,0
AOUT19CP46420,46420,Industriel / Face Au 4177 [46420] ,-73.75389,45.600933,0,0,0
AOUT19CP46421,46421,Industriel / Face Au 4184 [46421] ,-73.75437,45.601169,0,0,0
AOUT1946422,46422,Saint-Martin / Face Au Palais De Justice [46422] ,-73.74042,45.560903,0,0,1
AOUT1946423,46423,Des Laurentides / De Rome [46423] ,-73.68257,45.561685,0,0,0
AOUT1946424,46424,Curé-Labelle / Simone-De-Beauvoir [46424] ,-73.78323,45.570406,0,0,0
AOUT1946425,46425,Francis-Hughes / Dagenais [46425] ,-73.74671,45.601074,0,0,0
AOUT1946426,46426,Dagenais / Face Au 1240 [46426] ,-73.74799,45.599842,0,0,0
AOUT1946428,46428,Chomedey / Face Au 2350 [46428] ,-73.75756,45.561468,0,0,0
AOUT1946429,46429,Chomedey / Face Au 2350 [46429] ,-73.7573,45.56172,0,0,0
AOUT1946430,46430,De La Renaissance / Marc-Aurèle-Fortin [46430] ,-73.80126,45.60054,0,0,0
AOUT1946432,46432,Élodie-Boucher / Samson [46432] ,-73.77441,45.525642,0,0,0
AOUT1946433,46433,P.-é.-Borduas / Marc-Aurèle-Fortin [46433] ,-73.80056,45.603061,0,0,0
AOUT1946434,46434,P.-é.-Borduas / Marc-Aurèle-Fortin [46434] ,-73.80018,45.603017,0,0,0
AOUT1946435,46435,P.-é.-Borduas / De La Renaissance [46435] ,-73.79782,45.601215,0,0,0
AOUT1946436,46436,De La Renaissance / Face Au 4370 [46436] ,-73.79847,45.600898,0,0,0
AOUT1946437,46437,Des Laurentides / Rémillard [46437] ,-73.75057,45.647023,0,0,0
AOUT1946438,46438,Des Laurentides / Rémillard [46438] ,-73.75044,45.646896,0,0,0
AOUT1946439,46439,Principale / Face Au 180 [46439] ,-73.80021,45.535089,0,0,0
AOUT1946440,46440,Voie De Service Saint-Martin / Face Au 666 [46440] ,-73.71559,45.573847,0,0,0
AOUT1946441,46441,Élodie-Boucher / Derrière Clarins [46441] ,-73.77927,45.529716,0,0,0
AOUT1946443,46443,De L'avenir / Jacques-Tétreault [46443] ,-73.7208,45.559593,0,0,0
AOUT1946444,46444,De L'avenir / Face Au Collège Letendre [46444] ,-73.7224,45.561218,0,0,0
AOUT1946445,46445,Yvon-Berger / Galarneau [46445] ,-73.78838,45.591013,0,0,0
AOUT1946446,46446,Marc-Aurèle-Fortin / Charles-Daudelin [46446] ,-73.79228,45.590206,0,0,0
AOUT1946447,46447,Marc-Aurèle-Fortin / Jean-Paul-Lemieux [46447] ,-73.79388,45.590589,0,0,0
AOUT1946448,46448,Marc-Aurèle-Fortin / Alphonse-Deguire [46448] ,-73.79644,45.591677,0,0,0
AOUT1946449,46449,Marc-Aurèle-Fortin / Jean-Dallaire [46449] ,-73.79975,45.593543,0,0,0
AOUT1946450,46450,Marc-Aurèle-Fortin / Henri-Julien [46450] ,-73.7998,45.595109,0,0,0
AOUT1946451,46451,Marc-Aurèle-Fortin / Arthur-Villeneuve [46451] ,-73.79937,45.597198,0,0,0
AOUT1946452,46452,Marc-Aurèle-Fortin / Face Au 650 [46452] ,-73.8,45.599249,0,0,0
AOUT1946453,46453,Marc-Aurèle-Fortin / De La Renaissance [46453] ,-73.80094,45.600528,0,0,0
AOUT1946455,46455,Marc-Aurèle-Fortin / De La Renaissance [46455] ,-73.80109,45.600279,0,0,0
AOUT1946456,46456,Marc-Aurèle-Fortin / Arthur-Villeneuve [46456] ,-73.8005,45.59939,0,0,0
AOUT1946457,46457,Marc-Aurèle-Fortin / Face Au 707 [46457] ,-73.79962,45.597354,0,0,0
AOUT1946458,46458,Marc-Aurèle-Fortin / Louis-Paul-Perron [46458] ,-73.79987,45.595348,0,0,0
AOUT1946459,46459,Marc-Aurèle-Fortin / Jean-Dallaire [46459] ,-73.80001,45.593625,0,0,0
AOUT1946460,46460,Marc-Aurèle-Fortin / Alphonse-Deguire [46460] ,-73.79682,45.591664,0,0,0
AOUT1946461,46461,Marc-Aurèle-Fortin / Léo-Ayotte [46461] ,-73.79514,45.590954,0,0,0
AOUT1946462,46462,Marc-Aurèle-Fortin / Charles-Daudelin [46462] ,-73.79258,45.590044,0,0,0
AOUT1946463,46463,Yvon-Berger / Galarneau [46463] ,-73.78842,45.590774,0,0,0
AOUT1946470,46470,Le Carrefour / Face Au 3030 [46470] ,-73.75052,45.567593,0,0,0
AOUT1946471,46471,Sainte-Rose / Des Laurentides [46471] ,-73.75295,45.630152,0,0,0
AOUT1946472,46472,Le Carrefour / Chomedey [46472] ,-73.7588,45.561906,0,0,0
AOUT1946473,46473,Le Carrefour / Face Au Volvo [46473] ,-73.75831,45.561952,0,0,0
AOUT1946474,46474,Le Carrefour / Albert-Murphy [46474] ,-73.76219,45.559379,0,0,0
AOUT1946475,46475,Beaubien / Des Roseraies [46475] ,-73.55569,45.596253,0,0,0
AOUT1946476,46476,Galeries D'anjou / Jean-Talon [46476] ,-73.56775,45.59882,0,0,0
AOUT1946477,46477,Galeries D'anjou / Jarry [46477] ,-73.57568,45.602181,0,0,0
AOUT1946478,46478,Galeries D'anjou / Bombardier [46478] ,-73.58548,45.60643,0,0,0
AOUT1946479,46479,Galeries D'anjou / Bombardier [46479] ,-73.58622,45.606421,0,0,0
AOUT1946480,46480,Galeries D'anjou / Jarry [46480] ,-73.57567,45.601911,0,0,0
AOUT1946481,46481,Galeries D'anjou / Jean-Talon [46481] ,-73.56834,45.598775,0,0,0
AOUT1946482,46482,Beaubien / Des Roseraies [46482] ,-73.55502,45.596488,0,0,0
AOUT1946483,46483,Ernest-Cormier / Face Au 6810 [46483] ,-73.64579,45.633054,0,0,0
AOUT1946484,46484,Bernard-Lefebvre / Face Au 2555 [46484] ,-73.64498,45.634237,0,0,0
AOUT1946485,46485,Bernard-Lefebvre / Face Au 4000 [46485] ,-73.64659,45.636419,0,0,0
AOUT1946486,46486,Bernard-Lefebvre / Montée Masson [46486] ,-73.64194,45.636855,0,0,0
AOUT1946487,46487,Bernard-Lefebvre / Face Au 1855 [46487] ,-73.64349,45.632949,0,0,0
AOUT1946488,46488,Ernest-Cormier / Face Au 6810 [46488] ,-73.6461,45.633083,0,0,0
