route_id,service_id,trip_id,block_id,shape_id,trip_headsign
AOUT1912E,AOUT19DIM,AOUT1912E2D10019190523,D100,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D10121190527,D101,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D11722190529,D117,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D13823190531,D138,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D1609190503,D16,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D2908190501,D29,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D3210190505,D32,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D4217190519,D42,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D4313190511,D43,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D512190509,D5,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D5811190507,D58,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D5914190513,D59,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D8018190521,D80,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D8415190515,D84,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D9416190517,D94,AOUT1912E,
AOUT1912E,AOUT19DIM,AOUT1912E2D9720190525,D97,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L11407040003,L114,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L12513000017,L125,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L15717110029,L157,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L16814300021,L168,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L1906250001,L19,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L20109200009,L201,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L22017500031,L220,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L24012100015,L240,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L25208300007,L252,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L25615100023,L256,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L26616310027,L266,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L28519350035,L285,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L30115450025,L301,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L30521350039,L305,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L30822350041,L308,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L31018350033,L310,AOUT1912E,
AOUT1912E,AOUT19SEM,AOUT1912E2L33120350037,L331,AOUT1912E,
