service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JANV20DIM,0,0,0,0,0,0,1,20200104,20200320
JANV20SAM,0,0,0,0,0,1,0,20200104,20200320
JANV20SEM,1,1,1,1,1,0,0,20200104,20200320
MARS20SEM,1,1,1,1,1,0,0,20200321,20200327
MARS20SAM,0,0,0,0,0,1,0,20200321,20200327
MARS20DIM,0,0,0,0,0,0,1,20200321,20200327
REMX20SEM,1,1,1,1,1,0,0,20200328,20200619
REMX20SAM,0,0,0,0,0,1,0,20200328,20200619
REMX20DIM,0,0,0,0,0,0,1,20200328,20200619
