stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
JUIN2343372,43372,de l'Avenir / du Trait-Carré,-73.7242444,45.56372848,0,0,1,0
JUIN23CP43372,43372,de l'Avenir / du Trait-Carré,-73.7242444,45.56372848,0,0,1,0
JUIN2343374,43374,de l'Avenir / du Trait-Carré,-73.72409265,45.56413972,0,0,1,1
JUIN23CP43374,43374,de l'Avenir / du Trait-Carré,-73.72409265,45.56413972,0,0,1,1
JUIN2343380,43380,Pierre-Péladeau / Saint-Martin,-73.74179649,45.56111617,0,0,1,1
JUIN2343381,43381,Pierre-Péladeau / cinéma Colossus,-73.74317408,45.56229233,0,0,1,0
JUIN2343382,43382,Terry-Fox / du Cosmodôme,-73.74409598,45.5660966,0,0,1,0
JUIN2343383,43383,Terry-Fox / Édouard-Montpetit,-73.74583478,45.56773033,0,0,1,0
JUIN2343385,43385,Terry-Fox / Édouard-Montpetit,-73.74612987,45.56782868,0,0,1,0
JUIN2343386,43386,Terry-Fox / du Cosmodôme,-73.74471812,45.56638147,0,0,2,0
JUIN2343387,43387,Pierre-Péladeau / cinéma Colossus,-73.7431967,45.56203103,0,1,1,1
JUIN2343389,43389,Curé-Labelle / Face au 511,-73.78905187,45.5804219,0,0,1,0
JUIN2343390,43390,Curé-Labelle / face au Canadian Tire,-73.78895034,45.58134285,0,0,1,0
JUIN2343391,43391,Tracy / de Blois,-73.67769967,45.59459061,0,0,2,0
JUIN23CP43392,43392,Moreau / autoroute 13,-73.78909612,45.53732258,0,0,2,1
JUIN2343393,43393,Moreau / Montgolfier,-73.78744956,45.53834355,0,0,2,0
JUIN2343394,43394,Montgolfier / Bertin,-73.78499419,45.53642405,0,0,2,0
JUIN2343395,43395,Montgolfier / Grolier,-73.78382419,45.53546414,0,0,2,0
JUIN2343396,43396,Montgolfier / Binet,-73.78197294,45.533966,0,0,2,0
JUIN2343397,43397,des Mille-Îles / route 335,-73.74584926,45.6561472,0,0,2,0
JUIN2343398,43398,des Mille-Îles / route 335,-73.7460679,45.6562637,0,0,2,0
JUIN2343403,43403,de la Renaissance / P.-É.-Borduas,-73.79778078,45.60099044,0,0,1,0
JUIN2343404,43404,Jean-Béraud / face au 3400,-73.75947442,45.56679133,0,0,2,0
JUIN2343405,43405,Jean-Béraud / face au 3285,-73.75998574,45.56654721,0,0,2,0
JUIN2343410,43410,Gare du Ruisseau,-73.69296792,45.52805011,0,0,2,0
JUIN2343411,43411,Gare du Ruisseau,-73.69314795,45.52828377,0,0,2,0
JUIN2343416,43416,Cartier / Armand-Frappier,-73.72158307,45.54490615,0,0,1,0
JUIN2343417,43417,Dagenais / Gabriel,-73.79969012,45.57919158,0,0,2,0
JUIN2343419,43419,Rio / Rio,-73.74485172,45.6119001,0,0,2,0
JUIN23CP43420,43420,Montgolfier / Notre-Dame,-73.78069763,45.53223541,0,0,2,0
JUIN2343421,43421,Notre-Dame / Lavatère,-73.78783864,45.5292722,0,1,1,1
JUIN2343422,43422,Notre-Dame / Josaphat-Demers,-73.79218018,45.52719157,0,0,1,0
JUIN2343423,43423,Notre-Dame / Pierre,-73.79534804,45.52574366,0,0,1,0
JUIN2343424,43424,Notre-Dame / Dupré,-73.79759546,45.52466702,0,0,1,0
JUIN2343425,43425,Notre-Dame / Samson,-73.8007416,45.52280715,0,0,2,0
JUIN2343426,43426,Sylvie / Samson,-73.8039722,45.52496517,0,0,1,0
JUIN23CP43427,43427,Sylvie / Dandurant,-73.80248444,45.5261598,0,0,2,0
JUIN23CP43428,43428,Sylvie / Dandurant,-73.80276938,45.52613651,0,0,1,0
JUIN2343429,43429,Samson / Sylvie,-73.80417716,45.52499162,0,0,1,0
JUIN2343430,43430,Notre-Dame / Samson,-73.80040827,45.52272979,0,0,1,1
JUIN2343431,43431,Notre-Dame / Dupré,-73.7976323,45.52436998,0,0,1,0
JUIN2343432,43432,Notre-Dame / Toussaint,-73.795436,45.52542849,0,0,1,1
JUIN2343433,43433,Notre-Dame / Josaphat-Demers,-73.79173232,45.52712971,0,0,1,1
JUIN2343434,43434,Notre-Dame / Lavatère,-73.78679497,45.52945494,0,1,1,1
JUIN2343436,43436,Principale / Stéphane,-73.80164189,45.53446465,0,0,2,0
JUIN2343437,43437,Principale / Stéphane,-73.80165527,45.5345726,0,0,2,0
JUIN2343438,43438,du Souvenir / Daniel-Johnson,-73.74175829,45.55465581,0,0,1,0
JUIN2343439,43439,de l'Avenir / face au 1647,-73.72662519,45.56609834,0,0,1,0
JUIN23CP43506,43506,de l'Avenir / Jacques-Tétreault,-73.72025138,45.55951752,0,0,1,1
JUIN2343507,43507,de l'Avenir / Jacques-Tétreault,-73.72082099,45.55959293,0,0,1,1
JUIN23CP43509,43509,de l'Avenir / face au terminus Montmorency,-73.71932707,45.55800521,0,1,1,1
JUIN2343510,43510,de l'Avenir / face au cégep Montmorency,-73.71902241,45.55823765,0,1,1,1
JUIN2343900,43900,de l'Avenir / face à Omer de Serres,-73.72668699,45.5657903,0,0,1,0
JUIN2343920,43920,Chomedey / Jean-Béraud,-73.76165711,45.56506767,0,0,1,0
JUIN2343921,43921,Saint-Elzéar / Montée Saint-Aubin,-73.75426641,45.58086311,0,0,2,1
JUIN2343922,43922,Jacques-Bureau / Saint-Elzéar,-73.75722577,45.57756309,0,0,2,1
JUIN2343923,43923,Saint-Elzéar / Daniel-Johnson,-73.76420346,45.57456577,0,0,1,1
JUIN2343924,43924,Saint-Elzéar / Alphonse-De Lamartine,-73.76550417,45.57404812,0,0,1,0
JUIN2343925,43925,Le Carrefour / Chomedey,-73.75740561,45.56262078,0,0,1,0
JUIN2343927,43927,Le Carrefour / face au 3350,-73.75545209,45.56403791,0,0,2,0
