service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AOUT18DIM,0,0,0,0,0,0,1,20180825,20190104
AOUT18SAM,0,0,0,0,0,1,0,20180825,20190104
AOUT18SEM,1,1,1,1,1,0,0,20180825,20190104
JANV19DIM,0,0,0,0,0,0,1,20190105,20190322
JANV19SAM,0,0,0,0,0,1,0,20190105,20190322
JANV19SEM,1,1,1,1,1,0,0,20190105,20190322
JRAN19DIM,1,1,1,1,1,1,1,20190101,20190101
NOEL18DIM,1,1,1,1,1,1,1,20181225,20181225
